Word,Level
percent,A2
perform,A2
perhaps,A2
permission,A2
personality,A2
petrol,A2
photograph,A1
physical,A2
physics,A2
pick,B2
pilot,A2
planet,A2
plant,A1
plastic,A2
plate,A2
platform,A2
please,A1
pleased,A2
pocket,A2
polite,A2
pollution,A2
population,A2
position,B2
possession,A2
possibility,A2
poster,A2
power,B2
predict,A2
present,A1
president,A2
prevent,A2
print,B2
printer,A2
prison,A2
prize,A2
process,B2
produce,B2
professional,B2
professor,A2
profile,A2
program,B1
progress,B2
promise,A2
pronounce,A2
protect,A2
provide,A2
public,A2
publish,A2
pull,B1
purpose,A2
push,B1
quality,A2
quantity,A2
queen,A2
question,A1
quietly,A2
race,B1
railway,A2
raise,A2
rate,B2
rather,A2
reach,B2
react,A2
realize,A2
receive,A2
recent,A2
recently,A2
reception,A2
recipe,A2
recognize,A2
recommend,A2
record,A2
recording,A2
recycle,A2
reduce,A2
refer,A2
refuse,A2
region,A2
regular,A2
relationship,A2
remove,C1
repair,B1
replace,A2
reply,A2
report,A1
reporter,A2
request,B1
research,A2
researcher,A2
respond,A2
response,A2
rest,A2
remaining,A2
part,A1
sleeprelax,A2
review,A2
ride,A1
ring,B1
rise,B1
rock,A2
stone,A2
music,A1
role,A2
roof,A2
round,B2
route,A2
rubbish,A2
rude,A2
runner,A2
running,A2
sadly,A2
safe,A2
sail,B1
sailing,A2
salary,A2
sale,A2
sauce,A2
save,A2
scared,A2
scary,A2
scene,A2
schedule,B2
score,A2
screen,B2
search,A2
season,A2
seat,B2
second,A1
next,B1
secondly,A2
secret,A2
secretary,A2
seem,A2
sense,B2
separate,B1
series,A2
serious,A2
serve,A2
service,A2
several,A2
shake,B1
shall,A2
shape,B2
sheet,A2
ship,B2
shoulder,A2
shout,A2
shut,A2
side,A2
sign,A2
silver,A2
simple,A2
since,B1
singing,A2
single,A2
site,A2
size,A2
skiing,A2
skin,A2
sleep,A1
slowly,A2
smartphone,A2
smell,A2
smile,A2
smoke,A2
smoking,A2
soap,A2
soccer,A2
social,A2
society,A2
sock,A2
soft,A2
soldier,A2
solution,A2
solve,A2
somewhere,A2
sort,B1
source,A2
speaker,A2
specific,A2
speech,A2
speed,B2
spider,A2
spoon,A2
square,A2
stage,B2
stair,A2
stamp,A2
star,A1
start,A1
state,B1
stay,A1
steal,A2
step,B2
stomach,A2
store,B1
storm,A2
straight,A2
strange,A2
strategy,A2
stress,A2
structure,B2
stupid,A2
succeed,A2
successful,A2
such,A2
suddenly,A2
suggest,A2
